word,doc,value
buck,callwild,0.00763985625502
dogs,callwild,0.00250417510581
thornton,callwild,0.00216462593892
spitz,callwild,0.00137941849049
sled,callwild,0.00133697484463
francois,callwild,0.00127330937584
trail,callwild,0.000870094740155
john,callwild,0.000848872917225
perrault,callwild,0.000827651094294
hal,callwild,0.000785207448433
team,callwild,0.000721541979641
sol,callwild,0.000615432864988
traces,callwild,0.000594211042057
ice,callwild,0.000594211042057
leks,callwild,0.000594211042057
around,callwild,0.000551767396196
dave,callwild,0.000530545573266
mates,callwild,0.000466880104474
mercedes,callwild,0.000445658281543
dawson,callwild,0.000424436458612
